Name,Price,Description,Warnings,Category 1,Category 2,Category 3,Language
Sinomarin Cold & Flu Relief Nasal Decongestant,39.0,Pinapawi ang bara sa ilong at pressure sa sinus na kaugnay ng sipon at trangkaso.,Kumunsulta sa doktor kung patuloy ang mga sintomas. Para sa paggamit sa ilong lamang.,"Ubo, Sipon at Trangkaso",Bara sa Ilong,Spray,Tagalog
Strepsils Menthol Lozenges,28.03,Pinapawi ang sore throat at binubuksan ang baradong ilong gamit ang menthol.,Huwag lumampas sa inirekumendang dosis. Ilayo sa mga bata.,"Ubo, Sipon at Trangkaso",Sore Throat,Lozenges,Tagalog
Nurofen Cold & Flu Tablets,25.5,"Pinapawi ang mga sintomas ng sipon at trangkaso kabilang ang sakit, lagnat, at bara.",Huwag lumampas sa inirekumendang dosis. Kumunsulta sa doktor kung patuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Sipon,Tablets,Tagalog
ORS Lemon Soluble Tablets,38.0,Mabilis na pinupunan ang mga electrolytes at fluids na nawala dahil sa dehydration.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Kalusugan ng Pagtunaw,Pagtatae,Mga Tablet,Tagalog
Adol Extra Caplets,11.5,Nagbibigay ng mabilis at epektibong ginhawa mula sa sakit at lagnat.,Huwag lumampas sa inirekumendang dosis. Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Sakit at Lagnat,Sakit ng Ulo,Mga Tablet,Tagalog
Radian Massage Cream,11.0,Pinapawi at pinapaginhawa ang mga pananakit ng kalamnan at kirot sa pamamagitan ng nakapagpapainit na masahe.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata. Ilayo sa abot ng mga bata.,Sakit at Lagnat,Sakit sa Kalamnan,Cream/Ointment,Tagalog
Radian Massage Cream,18.0,Pinapawi at pinapaginhawa ang mga pananakit ng kalamnan at kirot sa pamamagitan ng nakapagpapainit na masahe.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata. Ilayo sa abot ng mga bata.,Sakit at Lagnat,Sakit sa Kalamnan,Cream/Ointment,Tagalog
Kobayashi Yoko Yoko Neck & Shoulder Heat Patches,25.0,"Nagbibigay ng naka-target, pangmatagalang ginhawa sa init para sa sakit sa leeg at balikat.",Huwag gamitin sa irritated o sirang balat. Subaybayan ang balat nang regular.,Sakit at Lagnat,Sakit sa Kalamnan,Patch/Plaster,Tagalog
Strepsils Honey & Lemon Lozenges,28.03,Pinapawi ang namamagang lalamunan na may epektibong ginhawa.,"Hindi angkop para sa mga batang wala pang 6 taong gulang. Kung magpatuloy ang mga sintomas, kumunsulta sa iyong doktor.","Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Mga Lozenges,Tagalog
Diclo Gel,21.5,Pinapawi ang sakit at pamamaga sa pamamagitan ng naka-target na pangkasalukuyang aplikasyon.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata at mucous membrane.,Sakit at Lagnat,Sakit sa Kalamnan,Gel,Tagalog
3M Nexcare Clear Waterproof Bandage,20.3,"Pinoprotektahan ang mga sugat gamit ang isang malinaw, hindi tinatagusan ng tubig, at breathable na bendahe.","Kung mangyari ang iritasyon, itigil ang paggamit at kumunsulta sa isang propesyonal sa pangangalagang pangkalusugan.",Pangunang Lunas,Pangangalaga sa Sugat,Cream/Ointment,Tagalog
Rofenac Gel,13.5,Nagbibigay ng ginhawa mula sa sakit at pamamaga.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mga mata at mucous membrane.,Sakit at Lagnat,Sakit sa Kalamnan,Gel,Tagalog
Isomar Nose & Ears Daily Hygiene Spray,44.0,Malumanay na nililinis at binabasa ang mga daanan ng ilong at tainga para sa pang-araw-araw na kalinisan.,Kumunsulta sa doktor kung mangyari ang iritasyon. Ilayo sa abot ng mga bata.,Pangunang Lunas,Pangangalaga sa Bibig,Spray,Tagalog
ACC N-Acetylcysteine Sachets,22.0,Binabawasan ang uhog upang maibsan ang paninikip ng dibdib at ubo.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas. Hindi angkop para sa mga batang wala pang 2 taong gulang.,"Ubo, Sipon at Trangkaso",Ubo,Mga Sachet,Tagalog
Vicks Inhaler,10.25,Nagbibigay ng pansamantalang ginhawa mula sa paninikip ng ilong.,Para sa paggamit sa ilong lamang. Ang labis na paggamit ay maaaring magdulot ng iritasyon sa ilong.,"Ubo, Sipon at Trangkaso",Paninikip ng Ilong,Spray,Tagalog
3 Chenes Propolis Throat Spray,49.0,Pinapawi at pinoprotektahan ang iyong lalamunan gamit ang propolis.,Kumunsulta sa isang propesyonal sa pangangalagang pangkalusugan kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Spray,Tagalog
Nisita Nasal Spray,31.5,Nililinis at binabasa ang mga daanan ng ilong.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Paninikip ng Ilong,Spray,Tagalog
Isla Cassis Lozenges,23.5,Pinapawi ang irritated na lalamunan na may lasa ng blackcurrant.,Ang labis na pagkonsumo ay maaaring magdulot ng mga epekto ng laxative.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Mga Lozenges,Tagalog
Deep Heat Rub,27.0,Nagbibigay ng nakapagpapainit na ginhawa para sa sakit sa kalamnan.,Iwasan ang pagkakadikit sa mga mata at sirang balat.,Sakit at Lagnat,Sakit sa Kalamnan,Cream/Ointment,Tagalog
Deep Heat Rub,19.0,Nagbibigay ng nakapagpapainit na ginhawa para sa sakit sa kalamnan.,Iwasan ang pagkakadikit sa mga mata at sirang balat.,Sakit at Lagnat,Sakit sa Kalamnan,Cream/Ointment,Tagalog
Deep Freeze Pain Relief Cold Patch,12.0,Nagbibigay ng nakapagpapalamig na ginhawa para sa sakit sa kalamnan at kasukasuan.,Huwag gamitin sa sirang balat. Kumunsulta sa doktor kung magpatuloy ang sakit.,Sakit at Lagnat,Sakit sa Kalamnan,Patch/Plaster,Tagalog
Lekadol Plus C Sachets,38.03,Pinapawi ang sakit at lagnat na may dagdag na Vitamin C.,Huwag lumampas sa nakasaad na dosis. Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Lagnat,Mga Sachet,Tagalog
3M Nexcare Family Set Adhesive Bandage,16.63,Pinoprotektahan ang maliliit na hiwa at galos.,Palitan ang bendahe araw-araw o kapag basa.,Pangunang Lunas,Pangangalaga sa Sugat,Cream/Ointment,Tagalog
Dexeryl Cream,67.0,Nagmo-moisturize at pinoprotektahan ang tuyong balat.,Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata.,Pangangalaga sa Balat,Pagkatuyo/Pagkakabitak,Cream/Ointment,Tagalog
Respimar Cleaning & Hydration Medium Spray,46.0,Dahan-dahang nililinis at hinahasa ang mga daanan ng ilong.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Mga Allergy at Sinus,Baradong Ilong,Spray,Tagalog
Mucolyte Tablets,7.5,Binabawasan ang plema upang maibsan ang bara sa dibdib.,Uminom ng maraming tubig. Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Ubo,Tablets,Tagalog
Chloraseptic Cherry Lozenges,29.5,Pinapawi ang sakit ng namamagang lalamunan sa pagkakadikit.,Kumunsulta sa doktor kung malala ang pananakit ng lalamunan o magpatuloy nang higit sa 2 araw.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Lozenges,Tagalog
Ociano-Plus Isotonic Salt Solution Nasal Spray,39.0,Pinapawi ang baradong ilong gamit ang isotonic salt solution.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Mga Allergy at Sinus,Baradong Ilong,Spray,Tagalog
Apisal Metered Dose Nasal Spray,26.0,Nagbibigay ng ginhawa mula sa baradong ilong gamit ang isang metered dose spray.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Mga Allergy at Sinus,Baradong Ilong,Spray,Tagalog
Chloraseptic Sore Throat Cherry Spray,38.5,Pansamantalang pinapawi ang sakit ng namamagang lalamunan.,Huwag gamitin nang higit sa 2 araw o ibigay sa mga batang wala pang 3 taong gulang maliban kung itinuro ng doktor.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Spray,Tagalog
Balsam Syrup,20.0,Pinapawi ang ubo at namamagang lalamunan.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Ubo,Syrup/Liquid,Tagalog
Tonimer Nasal Gel,38.0,Nagmo-moisturize at nililinis ang mga daanan ng ilong.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Mga Allergy at Sinus,Baradong Ilong,Cream/Ointment,Tagalog
Isla Mint Lozenges,23.5,Pinapawi ang lalamunan at pinapawi ang ubo.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Lozenges,Tagalog
"Vicks Soothing And Refreshing Throat Drops, Menthol",6.0,Pinapawi ang sakit ng namamagang lalamunan at pinapalamig ang mga daanan ng ilong.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Drops,Tagalog
Epimag 5mg Sachets,15.88,Pinapawi ang pagtitibi at nagtataguyod ng regular na pagdumi.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Kalusugan ng Pagtunaw,Pagtitibi,Sachets,Tagalog
Enzymedica Mucostop Capsules,117.6,Binabawasan ang labis na plema para sa suporta sa paghinga.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Ubo,Capsules,Tagalog
Zilox Sore Throat Lozenges,33.0,Nagbibigay ng pansamantalang ginhawa sa sakit ng namamagang lalamunan.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Lozenges,Tagalog
Toularynx Thyme Syrup,45.0,Pinapawi ang ubo at pinapawi ang iritasyon sa lalamunan.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Ubo,Syrup/Liquid,Tagalog
Zecuf Herbal Cough Lemon Lozenges,29.4,Pinapawi ang ubo gamit ang isang nakapapawing herbal blend at lasa ng lemon.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Ubo,Lozenges,Tagalog
Chloraseptic Warming Honey & Lemon Lozenges,29.5,Pawiin ang iyong namamagang lalamunan gamit ang nakapagpapainit na honey at lasa ng lemon.,Kumunsulta sa doktor kung malala ang pananakit ng lalamunan o tumagal nang higit sa 2 araw.,"Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Lozenges,Tagalog
Vomicure Ginger Extract Capsules,68.0,Pawiin ang pagduduwal at masamang tiyan gamit ang natural na ginger extract.,Kumunsulta sa isang propesyonal sa pangangalagang pangkalusugan bago gamitin kung buntis o nagpapasuso.,Kalusugan ng Pagtunaw,Pagduduwal/Pagsusuka,Capsules,Tagalog
Isla-Moos Herbal Lozenges,23.5,Pawiin at protektahan ang iyong lalamunan gamit ang mga herbal lozenges na ito.,"Kung magpatuloy ang mga sintomas, kumunsulta sa isang propesyonal sa pangangalagang pangkalusugan.","Ubo, Sipon at Trangkaso",Namamagang Lalamunan,Lozenges,Tagalog
Zilox Cough Lozenges,33.0,Pawiin ang ubo at pawiin ang mga irritated na lalamunan.,Hindi angkop para sa mga batang wala pang 6 taong gulang. Kumunsulta sa doktor kung magpatuloy ang ubo.,"Ubo, Sipon at Trangkaso",Ubo,Lozenges,Tagalog
Strepsils Warm Ginger Lozenges,23.99,Mabisang pagpapaginhawa ng mga sintomas ng pananakit ng lalamunan na may mainit na lasa ng luya.,Huwag lumampas sa nakasaad na dosis. Ilayo sa mga bata.,"Ubo, Sipon at Trangkaso",Pananakit ng Lalamunan,Pastillas,Tagalog
Vicks C Drops Lemon,6.0,Pawiin ang iyong lalamunan at makakuha ng dagdag na Vitamin C sa pamamagitan ng mga patak na may lasang lemon.,Ang labis na pagkonsumo ay maaaring magdulot ng mga epekto ng pagtatae.,"Ubo, Sipon at Trangkaso",Pananakit ng Lalamunan,Patak,Tagalog
Imodium Instants Tablets,15.5,Mabilis at mabisang pagpapaginhawa mula sa pagtatae.,Huwag gamitin nang higit sa 48 oras nang hindi kumukunsulta sa doktor.,Kalusugan ng Pagtunaw,Pagtatae,Tabletas,Tagalog
Puressentiel Respiratory Cough Syrup,75.5,Pawiin ang ubo at linisin ang mga daanan ng hangin gamit ang respiratory syrup na ito.,Hindi angkop para sa mga batang wala pang 3 taong gulang. Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Ubo,Syrup/Likido,Tagalog
ORS Blackcurrant Soluble Tablets,38.0,I-rehydrate at palitan ang mga electrolyte gamit ang mga tabletang may lasang blackcurrant.,Kumunsulta sa doktor kung nakakaranas ng matinding dehydration.,Kalusugan ng mga Bata,Dehydration,Tabletas,Tagalog
Strepsils Extra Blackcurrant Lozenges,32.89,Mabisang pagpapaginhawa ng pananakit para sa pananakit ng lalamunan na may lasang blackcurrant.,Huwag lumampas sa nakasaad na dosis. Ilayo sa mga bata.,"Ubo, Sipon at Trangkaso",Pananakit ng Lalamunan,Pastillas,Tagalog
Apisal Children Eye/Nose Drops,6.5,Banayad na saline drops upang maibsan ang nasal congestion at linisin ang mga mata sa mga bata.,Kumunsulta sa doktor kung magpatuloy ang iritasyon.,Kalusugan ng mga Bata,Nasal Congestion,Patak,Tagalog
Deep Heat Patch,12.0,"Nagbibigay ng naka-target, pangmatagalang pagpapaginhawa sa init para sa pananakit ng kalamnan at paninigas.",Huwag gamitin sa sirang o irritated na balat. Alisin agad kung masyadong mainit.,Pananakit at Lagnat,Pananakit ng Kalamnan,Patch/Plaster,Tagalog
Mucosolvan 30mg Tablets,14.5,Nagpapaginhawa ng ubo na may plema.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Ubo,Tabletas,Tagalog
Otosan Natural Ear Drops,49.0,Natural na patak sa tainga para sa kalinisan ng tainga.,Kumunsulta sa doktor kung mangyari ang iritasyon.,Pangunang Lunas,Tulong sa Pandinig,Patak,Tagalog
VISMED GEL MONO DOSE,56.0,Lubricating eye gel para sa tuyong mata.,"Kung mangyari ang iritasyon, itigil ang paggamit at kumunsulta sa doktor.",Pangangalaga sa Mata,Tuyong Mata,Eye Gel,Tagalog
Medireflux Stick Packs,102.5,Nagpapaginhawa ng heartburn at acid reflux.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Kalusugan ng Pagtunaw,Acid Reflux/Heartburn,Sachets,Tagalog
Simecol Activated Charcoal & Simethicone Capsules,48.0,Nagpapaginhawa ng gas at bloating.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,Kalusugan ng Pagtunaw,Gas/Bloating,Capsules,Tagalog
Blink Intensive Plus Liquid Gel Lubricating Eye Drops,52.5,Nagbibigay ng advanced na pagpapaginhawa para sa tuyong mata.,"Kung mangyari ang iritasyon, itigil ang paggamit at kumunsulta sa doktor.",Pangangalaga sa Mata,Tuyong Mata,Eye Drops,Tagalog
BLINK INTENSIVE TEARS PROTECTIVE EYE DROPS,46.5,Pinoprotektahan at nilalagyan ng lubricant ang tuyong mata.,"Kung mangyari ang iritasyon, itigil ang paggamit at kumunsulta sa doktor.",Pangangalaga sa Mata,Tuyong Mata,Eye Drops,Tagalog
Blink Intensive Soothing Eye Drops,48.0,Pinapawi at pinapaginhawa ang tuyo at irritated na mata.,"Kung mangyari ang iritasyon, itigil ang paggamit at kumunsulta sa doktor.",Pangangalaga sa Mata,Tuyong Mata,Eye Drops,Tagalog
Deep Heat Max Strength,36.0,Nagbibigay ng maximum strength na pagpapaginhawa ng pananakit para sa mga kalamnan.,Iwasan ang pagkakadikit sa mata at sirang balat.,Pananakit at Lagnat,Pananakit ng Kalamnan,Cream/Ointment,Tagalog
ORS Strawberry Soluble Tablets,38.0,Nagre-rehydrate at pinapalitan ang mga electrolyte.,Kumunsulta sa doktor kung magpatuloy ang dehydration.,Kalusugan ng mga Bata,Dehydration,Tabletas,Tagalog
AMS Charconut Activated Charcoal Capsules,169.0,Nagpapaginhawa ng gas at bloating na may activated charcoal.,Maaaring makagambala sa pagsipsip ng ibang mga gamot. Kumunsulta sa doktor.,Kalusugan ng Pagtunaw,Gas/Bloating,Capsules,Tagalog
Betadine Povidone-Iodine Throat Spray,40.88,Antiseptic throat spray para sa pananakit ng lalamunan.,Iwasan ang pagkakadikit sa mata. Kumunsulta sa doktor kung magpatuloy ang mga sintomas.,"Ubo, Sipon at Trangkaso",Pananakit ng Lalamunan,Spray,Tagalog
Compeed Callus Plasters Medium,56.0,Nagbibigay ng proteksyon at ginhawa mula sa sakit ng kalyo.,Kumunsulta sa doktor kung mayroon kang diabetes o mahinang sirkulasyon.,Pangunang Lunas,Pangangalaga sa Sugat,Pats/Plaaster,Tagalog
Vicks Vaporub,32.25,Nagpapaginhawa sa ubo at bara sa ilong gamit ang mga medikadong singaw.,Para sa panlabas na gamit lamang. Iwasan ang pagkakadikit sa mata.,"Ubo, Sipon at Trangkaso",Ubo,Krema/Ointment,Tagalog
Vicks Vaporub,19.0,Nagpapaginhawa sa ubo at bara sa ilong gamit ang mga medikadong singaw.,Para sa panlabas na gamit lamang. Iwasan ang pagkakadikit sa mata.,"Ubo, Sipon at Trangkaso",Ubo,Krema/Ointment,Tagalog
Blink Contacts Soothing Eye Drops,40.5,Nagbibigay ng nakapapawing pagginhawa para sa tuyong mata na sanhi ng pagsuot ng contact lens.,Kumunsulta sa iyong doktor sa mata kung magpatuloy ang iritasyon.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Patak sa Mata,Tagalog
Nexcare Happy Kids Plasters Magic Assortment,18.9,Nakakatuwa at proteksiyon na mga plaster para sa maliliit na hiwa at galos.,Isang gamitan lamang. Sterile maliban kung ang indibidwal na balot ay nabuksan o nasira.,Pangunang Lunas,Pangangalaga sa Sugat,Pats/Plaaster,Tagalog
Nexcare Happy Kids Plasters Cool Assortment,18.9,Nakakatuwa at proteksiyon na mga plaster para sa maliliit na hiwa at galos.,Isang gamitan lamang. Sterile maliban kung ang indibidwal na balot ay nabuksan o nasira.,Pangunang Lunas,Pangangalaga sa Sugat,Pats/Plaaster,Tagalog
Bella Contact Lenses Elite Cinnamon Brown,125.25,Mga cosmetic contact lens para sa pagpapaganda ng kulay ng mata.,Kumunsulta sa isang propesyonal sa pangangalaga ng mata bago gamitin.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Uri ng Solusyon para sa Contact Lens,Tagalog
Bella Contact Lenses Elite Crystal N,125.25,Mga cosmetic contact lens para sa pagpapaganda ng kulay ng mata.,Kumunsulta sa isang propesyonal sa pangangalaga ng mata bago gamitin.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Uri ng Solusyon para sa Contact Lens,Tagalog
Bella Contact Lenses Elite Gray Beige,125.25,Mga cosmetic contact lens para sa pagpapaganda ng kulay ng mata.,Kumunsulta sa isang propesyonal sa pangangalaga ng mata bago gamitin.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Uri ng Solusyon para sa Contact Lens,Tagalog
Bella Contact Lenses Elite Gray Olive,125.25,Mga cosmetic contact lens para sa pagpapaganda ng kulay ng mata.,Kumunsulta sa isang propesyonal sa pangangalaga ng mata bago gamitin.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Uri ng Solusyon para sa Contact Lens,Tagalog
Bella Contact Lenses Elite Amber Gray,125.25,Mga cosmetic contact lens para sa pagpapaganda ng kulay ng mata.,Kumunsulta sa isang propesyonal sa pangangalaga ng mata bago gamitin.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Uri ng Solusyon para sa Contact Lens,Tagalog
Bella Contact Lenses Elite  Sandy Gray,125.25,Mga cosmetic contact lens para sa pagpapaganda ng kulay ng mata.,Kumunsulta sa isang propesyonal sa pangangalaga ng mata bago gamitin.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Uri ng Solusyon para sa Contact Lens,Tagalog
Bella Contact Lenses Elite Sandy Brown,125.25,Pagandahin ang iyong natural na kulay ng mata gamit ang mga kumportable at naka-istilong contact lens na ito.,Kumunsulta sa isang propesyonal sa pangangalaga ng mata bago gamitin. Sundin ang wastong pangangalaga sa lens at mga gawi sa kalinisan.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Uri ng Solusyon para sa Contact Lens,Tagalog
Bella Contact Lenses Elite Wild Honey,125.25,Magkaroon ng kaakit-akit na kulay ng mata na parang pulot gamit ang mga kumportableng contact lens na ito.,Kumunsulta sa isang propesyonal sa pangangalaga ng mata bago gamitin. Sundin ang wastong pangangalaga sa lens at mga gawi sa kalinisan.,Pangangalaga sa Mata,Mga Isyu na Kaugnay ng Contact Lens,Uri ng Solusyon para sa Contact Lens,Tagalog
Nexcare Finger Plasters,14.7,Protektahan at pagalingin ang maliliit na sugat sa daliri gamit ang mga nababaluktot na plaster na ito.,"Para sa panlabas na gamit lamang. Sa kaso ng iritasyon, itigil ang paggamit.",Pangunang Lunas,Pangangalaga sa Sugat,Pats/Plaaster,Tagalog
Nexcare Animals Kids Bandages,19.6,Nakakatuwa at proteksiyon na mga bendahe para sa maliliit na hiwa at galos ng mga bata.,"Para sa panlabas na gamit lamang. Sa kaso ng iritasyon, itigil ang paggamit.",Kalusugan ng mga Bata,Iritasyon sa Balat,Krema/Ointment,Tagalog
Nexcare Professional Kids Bandage,18.9,Matibay at banayad na mga bendahe na idinisenyo para sa sensitibong balat ng mga bata.,"Para sa panlabas na gamit lamang. Sa kaso ng iritasyon, itigil ang paggamit.",Kalusugan ng mga Bata,Iritasyon sa Balat,Krema/Ointment,Tagalog
Nexcare Monsters Kids Bandage,18.9,Mga bendahe na may temang halimaw upang gawing masaya ang pagpapagaling para sa mga bata.,"Para sa panlabas na gamit lamang. Sa kaso ng iritasyon, itigil ang paggamit.",Kalusugan ng mga Bata,Iritasyon sa Balat,Krema/Ointment,Tagalog
Nexcare Max Hold Waterproof Bandages,15.23,Hindi tinatagusan ng tubig na mga bendahe para sa maximum na proteksyon at secure na pagkakapit.,"Para sa panlabas na gamit lamang. Sa kaso ng iritasyon, itigil ang paggamit.",Pangunang Lunas,Pangangalaga sa Sugat,Pats/Plaaster,Tagalog
Mucoplexil Syrup,26.5,Nagpapaginhawa sa ubo at bara sa ilong na may mucolytic action.,Kumunsulta sa doktor kung magpatuloy ang mga sintomas. Ilayo sa mga bata.,"Ubo, Sipon at Trangkaso",Ubo,Sirup/Likido,Tagalog
Flamigel,69.0,"Nagpo-promote ng mas mabilis na paggaling ng mga minor na paso, sugat, at iritasyon sa balat.",Para sa panlabas na paggamit lamang. Iwasan ang pagkakadikit sa mata.,Pangunang Lunas,Pagpapaginhawa sa Paso,Cream/Ointment,Tagalog
Opti-Tect Black Face Mask,10.0,Nagbibigay ng proteksiyon laban sa mga particle sa hangin.,Ang mask na ito ay hindi respirator at hindi poprotekta laban sa lahat ng mga particle sa hangin. Itapon nang maayos pagkatapos gamitin.,Pangunang Lunas,Pangkalahatang Antiseptiko,Spray,Tagalog
Compeed Blister Plasters On Toes,57.0,Nagbibigay ng agarang pagpapaginhawa sa sakit at proteksiyon para sa mga paltos sa mga daliri ng paa.,"Kung ikaw ay may diabetes o mahinang sirkulasyon, kumunsulta sa iyong doktor bago gamitin.",Pangunang Lunas,Pangangalaga sa Sugat,Patch/Plaster,Tagalog
Compeed Blister Plasters Small,56.0,Nagbibigay ng agarang pagpapaginhawa sa sakit at proteksiyon para sa maliliit na paltos.,"Kung ikaw ay may diabetes o mahinang sirkulasyon, kumunsulta sa iyong doktor bago gamitin.",Pangunang Lunas,Pangangalaga sa Sugat,Patch/Plaster,Tagalog
Compeed Blister Plasters Medium,93.0,"Nagbibigay ng proteksiyon at proteksyon para sa mga paltos, nagpo-promote ng mas mabilis na paggaling.","Para sa panlabas na paggamit lamang. Ilayo sa mga bata. Kung lumala ang paltos o magkaroon ng impeksiyon, kumunsulta sa doktor.",Pangunang Lunas,Pangangalaga sa Sugat,Patch/Plaster,Tagalog
Strepsils Orange Vitamin C 100mg Lozenges,33.06,Pinapawi ang pananakit ng lalamunan na may epektibong pagpapaginhawa at dagdag na Vitamin C.,"Ilayo sa mga bata. Huwag lumampas sa nakasaad na dosis. Kung magpatuloy ang mga sintomas, kumunsulta sa iyong doktor.","Ubo, Sipon at Trangkaso",Pananakit ng Lalamunan,Lozenges,Tagalog
Blephaclean Sterile Pads,80.0,Dahan-dahang nililinis ang talukap ng mata at inaalis ang mga dumi upang mapanatili ang kalinisan.,Para sa panlabas na paggamit lamang. Huwag gamitin kung allergic sa alinman sa mga sangkap. Kumunsulta sa doktor kung mangyari ang iritasyon.,Pangangalaga sa Mata,Mga Problema sa Talukap ng Mata,Iba pa,Tagalog
Sterimar Allergies and Sinusitis Nasal Spray,44.0,Dahan-dahang nililinis ang mga daanan ng ilong at pinapawi ang bara na dulot ng mga allergy at sinusitis.,"Presyurisadong lalagyan: Maaaring pumutok kung pinainitan. Ilayo sa init, mainit na mga ibabaw, mga alipato, bukas na apoy at iba pang mga pinagmumulan ng pag-aapoy. Huwag manigarilyo. Huwag butasin o sunugin, kahit pagkatapos gamitin. Protektahan mula sa sikat ng araw. Huwag ilantad sa mga temperaturang lumalagpas sa 50°C/122°F. Ilayo sa mga bata.",Mga Allergy at Sinus,Barang Ilong,Spray,Tagalog
Sterimar Blocked Nose,47.0,Binubuksan ang mga daanan ng ilong at pinapawi ang bara.,"Presyurisadong lalagyan: Maaaring pumutok kung pinainitan. Ilayo sa init, mainit na mga ibabaw, mga alipato, bukas na apoy at iba pang mga pinagmumulan ng pag-aapoy. Huwag manigarilyo. Huwag butasin o sunugin, kahit pagkatapos gamitin. Protektahan mula sa sikat ng araw. Huwag ilantad sa mga temperaturang lumalagpas sa 50°C/122°F. Ilayo sa mga bata.","Ubo, Sipon at Trangkaso",Barang Ilong,Spray,Tagalog
Aqua Maris Plus Nasal Spray,55.0,"Nagmo-moisturize at nililinis ang mga daanan ng ilong, nagpo-promote ng kalinisan sa ilong.",Kumunsulta sa doktor kung magpatuloy ang mga sintomas. Ilayo sa mga bata.,Mga Allergy at Sinus,Barang Ilong,Spray,Tagalog
Obagi Nu-Cil Eyelash and Eyebrow Serum Kit,1060.5,Pinapaganda ang hitsura ng mga pilikmata at kilay para sa mas makapal na hitsura.,"Para sa panlabas na paggamit lamang. Iwasan ang direktang pagkakadikit sa mata. Kung mangyari ang iritasyon, itigil ang paggamit at kumunsulta sa doktor. Ilayo sa mga bata.",Pangangalaga sa Balat,Pamamaga/Iritasyon,Liquid,Tagalog
Eltroxin 100 Mcg Tablets,22.5,Nagbibigay ng thyroid hormone replacement para sa hypothyroidism.,Inumin ayon sa direksyon ng iyong doktor. Kinakailangan ang regular na pagsubaybay sa mga antas ng thyroid hormone. Ipaalam sa iyong doktor ang anumang iba pang mga gamot na iyong iniinom.,Mga Bitamina at Suplemento,Mga Herbal Supplement,Tablets,Tagalog
Natazone Mometasone Furoate,26.5,Pinapawi ang bara sa ilong at pamamaga dahil sa mga allergy.,Gamitin lamang ayon sa direksyon. Huwag lumampas sa inirekumendang dosis. Kumunsulta sa doktor kung hindi bumuti ang mga sintomas pagkatapos ng ilang araw.,Mga Allergy at Sinus,Barang Ilong,Spray,Tagalog
